continent	region	country	population	density	% urban	% growth	birth rate	death rate	fertility	under 5 mortaility
Europe	Southern Europe	Slovenia	1984.1	98	49.1	-0.1	8.3	9.8	1.1	7.3
Europe	Southern Europe	Spain	41060.4	81.3	78.3	0.2	9.3	9.1	1.2	6.5
Europe	Southern Europe	TFYR Macedonia	2055.9	80	59.5	0.5	14.5	8.4	1.9	18.3
Europe	Western Europe	Austria	8116.2	96.8	67.7	0	8.6	9.9	1.3	5.6
Europe	Western Europe	Belgium	10318.4	338.1	97.5	0.2	10.8	10	1.7	5.9
Europe	Western Europe	France	60144.1	109.1	75.9	0.5	12.8	9.3	1.9	6.1
Europe	Western Europe	Germany	82475.6	231.2	88.1	0.1	8.7	10.6	1.4	5.5
Europe	Western Europe	Liechtenstein	33.6	209.7	21.9	0.8	NA	NA	NA	NA
Europe	Western Europe	Luxembourg	453.1	175.2	92.6	1.3	12.6	8.2	1.7	6.7
Europe	Western Europe	Monaco	34.4	23089.9	100	0.9	NA	NA	NA	NA
Europe	Western Europe	Netherlands	16149.2	395.4	89.8	0.5	12.1	8.9	1.7	6.2
Europe	Western Europe	Switzerland	7168.7	173.6	67.4	0	8.7	9.8	1.4	5.9
Latin America and the Caribbean	Caribbean	Anguilla	11.8	123.4	100	1.7	NA	NA	NA	NA
Latin America and the Caribbean	Caribbean	Antigua and Barbuda	73	165.9	37.7	0.5	NA	NA	NA	NA
Latin America and the Caribbean	Caribbean	Aruba	99.5	515.5	51.4	2	NA	NA	NA	NA
Latin America and the Caribbean	Caribbean	Bahamas	313.8	22.6	89.4	1.1	19.4	8.2	2.3	24.5
Latin America and the Caribbean	Caribbean	Barbados	270.4	628.8	51.6	0.4	12.2	7.8	1.5	12.1
Latin America and the Caribbean	Caribbean	British Virgin Islands	20.9	136.7	63.7	1.8	NA	NA	NA	NA
Latin America and the Caribbean	Caribbean	Cayman Islands	40.4	155.8	100	3	NA	NA	NA	NA
Latin America and the Caribbean	Caribbean	Cuba	11300.4	101.9	75.8	0.3	11.6	7.2	1.6	9.6
Latin America and the Caribbean	Caribbean	Dominica	78.6	104.7	72	0.3	NA	NA	NA	NA
Latin America and the Caribbean	Caribbean	Dominican Republic	8744.9	179.4	67.2	1.5	23.3	7	2.7	53.3
Latin America and the Caribbean	Caribbean	Grenada	80.3	233.5	39.5	-0.3	NA	NA	NA	NA
Latin America and the Caribbean	Caribbean	Guadeloupe	439.6	257.8	99.7	0.8	16.1	6.2	2.1	9.7
Latin America and the Caribbean	Caribbean	Haiti	8326.3	300	37.6	1.3	30.3	14.6	4	111.5
Latin America and the Caribbean	Caribbean	Jamaica	2650.9	241.2	57.6	0.9	20.5	5.7	2.4	24.7
Latin America and the Caribbean	Caribbean	Martinique	392.6	356.2	95.7	0.6	13.7	6.9	1.9	8.5
Latin America and the Caribbean	Caribbean	Montserrat	3.5	34.4	13.4	0.3	NA	NA	NA	NA
Latin America and the Caribbean	Caribbean	Netherlands Antilles	220.8	276	69.7	0.8	15	6.2	2.1	14.2
Latin America and the Caribbean	Caribbean	Puerto Rico	3879	436	76.3	0.5	14.3	8.3	1.9	12.2
Latin America and the Caribbean	Caribbean	Saint Kitts and Nevis	41.8	160	34.6	-0.3	NA	NA	NA	NA
Latin America and the Caribbean	Caribbean	Saint Lucia	149.2	239.9	38.5	0.8	20.4	5.9	2.3	19.3
Latin America and the Caribbean	Caribbean	Saint Vincent and the Grenadines	119.8	308.9	58.3	0.6	20	5.8	2.2	18
Latin America and the Caribbean	Caribbean	Trinidad and Tobago	1302.7	253.9	75.3	0.3	13.7	7.3	1.6	18.6
Latin America and the Caribbean	Caribbean	Turks and Caicos Islands	20.6	47.9	46.4	3.5	NA	NA	NA	NA
Latin America and the Caribbean	Caribbean	United States Virgin Islands	111.5	321.2	47.2	0.9	14.4	5.7	2.1	11.2
Latin America and the Caribbean	Central America	Belize	255.9	11.1	48.3	2.1	27	5.3	3.2	42.2
Latin America and the Caribbean	Central America	Costa Rica	4172.9	81.7	60.6	1.9	19.1	3.9	2.3	12.2
Latin America and the Caribbean	Central America	El Salvador	6515.4	309.7	63.7	1.6	25.1	5.9	2.9	34.7
Latin America and the Caribbean	Central America	Guatemala	12346.9	113.4	40.6	2.6	34.2	6.7	4.4	54.3
Latin America and the Caribbean	Central America	Honduras	6940.6	61.9	55.6	2.3	30	5.7	3.7	48
Latin America and the Caribbean	Central America	Mexico	103457	52.8	75	1.5	22.4	5	2.5	34.4
Latin America and the Caribbean	Central America	Nicaragua	5465.9	42	57.3	2.4	31.6	5.1	3.7	45.2
Latin America and the Caribbean	Central America	Panama	3120.4	41.3	57.2	1.8	22.7	5	2.7	26.9
Latin America and the Caribbean	South America	Argentina	38427.8	13.9	88.6	1.2	19	7.6	2.4	23.2
Latin America and the Caribbean	South America	Bolivia	8808.4	8	64	1.9	29.3	8.1	3.8	72.2
Latin America and the Caribbean	South America	Brazil	178470.4	21	82.9	1.2	19.7	7.1	2.2	45.5
Latin America and the Caribbean	South America	Chile	15805.5	20.9	86.6	1.2	18.2	5.6	2.4	13.7
