country	Continent	Region	pop	density	pct.urban	pct.gr	br	dr	fert	under.5.mort
Turkey	Asia	Western Asia	71325.2	91.5	67	1.4	20.9	6	2.4	49.5
United Arab Emirates	Asia	Western Asia	2994.8	35.8	88.1	1.9	16.7	2.4	2.8	15.4
Yemen	Asia	Western Asia	20010.3	37.9	25.6	3.5	45	9.2	7	97.6
Europe	Europe	Western Asia	726337.9	31.6	73.9	-0.1	9.7	11.5	1.4	11.5
Eastern Europe	Europe	Eastern Europe	300263.7	16	68.4	-0.5	8.9	13.4	1.2	18.6
Belarus	Europe	Eastern Europe	9895.1	47.7	69.9	-0.5	8.8	13.2	1.2	14.8
Bulgaria	Europe	Eastern Europe	7896.5	71.2	67.4	-0.8	7.9	15.1	1.1	19.2
Czech Republic	Europe	Eastern Europe	10235.5	129.8	74.6	-0.1	8.8	10.8	1.2	5.9
Hungary	Europe	Eastern Europe	9876.9	106.2	65.4	-0.5	8.8	13.5	1.2	11
Poland	Europe	Eastern Europe	38587.3	119.4	63	-0.1	9.6	10	1.3	10.7
Republic of Moldova	Europe	Eastern Europe	4266.6	126.6	41.6	-0.1	11.5	10.7	1.4	23.6
Romania	Europe	Eastern Europe	22333.9	94	55.6	-0.2	10.4	12.5	1.3	24.7
Russian Federation	Europe	Eastern Europe	143246.2	8.4	72.9	-0.6	8.6	14.6	1.1	22
Slovakia	Europe	Eastern Europe	5402.4	110.2	58	0.1	10.2	9.8	1.3	10
Ukraine	Europe	Eastern Europe	48523.1	80.4	68.1	-0.8	8.4	14.2	1.2	17.9
Northern Europe	Europe	Northern Europe	94816.3	54.2	83.3	0.2	11	10.5	1.6	6.6
Channel Islands	Europe	Northern Europe	144.8	742.7	28.9	0.1	10.9	10.1	1.5	6.5
Denmark	Europe	Northern Europe	5363.8	124.5	85.1	0.2	11.8	11.3	1.8	6.5
Estonia	Europe	Northern Europe	1323.1	29.3	69.4	-1.1	8.7	13.6	1.2	11.4
Faeroe Islands	Europe	Northern Europe	46.8	33.5	39.5	0.7	NA	NA	NA	NA
Finland	Europe	Northern Europe	5206.7	15.4	58.6	0.2	10.8	9.8	1.7	4.8
Iceland	Europe	Northern Europe	289.6	2.8	93	0.8	14.1	6.9	2	4.2
Ireland	Europe	Northern Europe	3955.6	56.3	59.8	1.1	14.4	8.3	1.9	7
Isle of Man	Europe	Northern Europe	74.8	127.2	77.4	0.5	NA	NA	NA	NA
Latvia	Europe	Northern Europe	2307.5	35.8	59.9	-0.9	7.8	13.6	1.1	17.7
Lithuania	Europe	Northern Europe	3443.6	52.8	68.9	-0.6	8.8	11.6	1.3	11.3
Norway	Europe	Northern Europe	4533.1	14	75.5	0.4	12	9.9	1.8	5.9
Sweden	Europe	Northern Europe	8876.2	19.7	83.3	0.1	10.3	10.6	1.6	4.3
United Kingdom	Europe	Northern Europe	59250.6	242.7	89.7	0.3	11	10.4	1.6	6.5
Southern Europe	Europe	Southern Europe	146364.7	111.2	67.1	0.1	9.7	10.1	1.3	9.3
Albania	Europe	Southern Europe	3166.2	110.1	44.2	0.7	18.2	5.4	2.3	34.1
Andorra	Europe	Southern Europe	71.2	157.2	91.7	2.6	NA	NA	NA	NA
Bosnia and Herzegovina	Europe	Southern Europe	4161.5	81.4	44.3	1.1	9.7	8.1	1.3	15.7
Croatia	Europe	Southern Europe	4427.9	78.3	59	-0.2	11.1	11.8	1.7	9.2
Gibraltar	Europe	Southern Europe	27.2	4541.5	100	0.1	NA	NA	NA	NA
Greece	Europe	Southern Europe	10976.3	83.2	60.8	0.1	9.1	10.5	1.3	7.7
Holy See	Europe	Southern Europe	0.8	1784.1	100	0	NA	NA	NA	NA
Italy	Europe	Southern Europe	57423	190.6	67.4	-0.1	8.8	10.9	1.2	6.6
Malta	Europe	Southern Europe	394.3	1247.7	91.7	0.4	11.8	7.9	1.8	8.3
Portugal	Europe	Southern Europe	10061.5	108.9	68.3	0.1	11	10.8	1.5	8.1
San Marino	Europe	Southern Europe	27.6	452.4	90.7	1	NA	NA	NA	NA
Serbia and Montenegro	Europe	Southern Europe	10526.8	103	52	-0.1	11.7	10.6	1.7	15.3
Slovenia	Europe	Southern Europe	1984.1	98	49.1	-0.1	8.3	9.8	1.1	7.3
Spain	Europe	Southern Europe	41060.4	81.3	78.3	0.2	9.3	9.1	1.2	6.5
TFYR Macedonia	Europe	Southern Europe	2055.9	80	59.5	0.5	14.5	8.4	1.9	18.3
Western Europe	Europe	Western Europe	184893.2	166.9	83.1	0.2	10.5	9.9	1.6	5.9
Austria	Europe	Western Europe	8116.2	96.8	67.7	0	8.6	9.9	1.3	5.6
Belgium	Europe	Western Europe	10318.4	338.1	97.5	0.2	10.8	10	1.7	5.9
