COUNTRY_NAME,IND1_DESC,1999,2000,2001,2002,2003
Austria,GDP growth (annual %),2.74,3.53,0.67,1.04,0.7
Austria,"Life expectancy at birth, total (years)",77.93,78.23,78.53,78.88,NA
Austria,"Mortality rate, infant (per 1,000 live births)",NA,5,NA,5,NA
Austria,"Mortality rate, under-5 (per 1,000)",NA,5,NA,5,NA
Austria,Population growth (annual %),0.19,0.25,0.25,0.2,0.14
Austria,"Population, total",7992000,8012000,8032000,8048000,8059000
Austria,"School enrollment, primary (% net)",90.55,90.6,NA,NA,NA
Austria,"School enrollment, secondary (% net)",88.5,88.12,NA,NA,NA
Azerbaijan,Aid per capita (current US$),21.23,17.32,28.62,42.75,NA
Azerbaijan,CO2 emissions (metric tons per capita),4.1,3.61,NA,NA,NA
Azerbaijan,Electric power consumption (kwh per capita),1779.41,1852.4,1845.89,NA,NA
Azerbaijan,Energy use (kg of oil equivalent per capita),1598.02,1453.97,1427.94,NA,NA
Azerbaijan,"Fertility rate, total (births per woman)",2.07,2.07,NA,2.07,NA
Azerbaijan,GDP (current US$),4.58E+09,5.27E+09,5.71E+09,6.24E+09,7.12E+09
Azerbaijan,GDP growth (annual %),7.4,11.1,9.89,10.58,11.2
Azerbaijan,"Life expectancy at birth, total (years)",NA,65.21,NA,65.21,NA
Azerbaijan,"Mortality rate, infant (per 1,000 live births)",NA,78,NA,76,NA
Azerbaijan,"Mortality rate, under-5 (per 1,000)",NA,97,NA,96,NA
Azerbaijan,Population growth (annual %),0.88,0.82,0.77,0.75,0.74
Azerbaijan,"Population, total",7983000,8049000,8111000,8172000,8233000
Azerbaijan,"Poverty headcount, national (% of population)",NA,NA,49.6,NA,NA
Azerbaijan,"Primary completion rate, female (% of relevant age group)",NA,NA,NA,99,NA
Azerbaijan,"Primary completion rate, total (% of relevant age group)",NA,103.92,102.9,100.16,NA
Azerbaijan,"School enrollment, primary (% net)",79.94,80.25,79.83,NA,NA
Azerbaijan,"School enrollment, secondary (% net)",71.47,75.22,75.74,NA,NA
"Bahamas, The",Aid per capita (current US$),38.53,18.07,27.26,16.97,NA
"Bahamas, The",CO2 emissions (metric tons per capita),5.98,5.89,NA,NA,NA
"Bahamas, The","Fertility rate, total (births per woman)",NA,2.19,NA,2.12,NA
"Bahamas, The",GDP (current US$),4.58E+09,4.88E+09,4.95E+09,5.05E+09,5.26E+09
"Bahamas, The",GDP growth (annual %),5.9,5,-2,0.7,NA
"Bahamas, The","Life expectancy at birth, total (years)",NA,69.43,NA,69.7,NA
"Bahamas, The","Mortality rate, infant (per 1,000 live births)",NA,15,NA,13,NA
"Bahamas, The","Mortality rate, under-5 (per 1,000)",NA,17,NA,16,NA
"Bahamas, The",Population growth (annual %),2.02,1.65,1.63,1.28,0.95
"Bahamas, The","Population, total",300000,305000,310000,314000,317000
"Bahamas, The","School enrollment, primary (% net)",NA,NA,NA,NA,NA
"Bahamas, The","School enrollment, secondary (% net)",NA,NA,78.96,NA,NA
Bahrain,Aid per capita (current US$),6.1,73.27,26.14,101.12,NA
Bahrain,CO2 emissions (metric tons per capita),28.98,29.1,NA,NA,NA
Bahrain,Electric power consumption (kwh per capita),8335.37,8232.84,8700.29,NA,NA
Bahrain,Energy use (kg of oil equivalent per capita),9143.29,9305.97,9445.91,NA,NA
Bahrain,"Fertility rate, total (births per woman)",NA,2.84,NA,2.3,NA
Bahrain,GDP (current US$),6.62E+09,7.97E+09,7.94E+09,7.68E+09,NA
Bahrain,GDP growth (annual %),4.3,5.3,0,5.1,NA
Bahrain,"Life expectancy at birth, total (years)",NA,73.09,NA,73.29,NA
Bahrain,"Literacy rate, adult female (% of females ages 15 and above)",81.5,82.57,83.2,84.18,NA
Bahrain,"Literacy rate, adult total (% of people ages 15 and above)",86.88,87.52,87.88,88.5,NA
Bahrain,"Mortality rate, infant (per 1,000 live births)",NA,13,NA,13,NA
Bahrain,"Mortality rate, under-5 (per 1,000)",NA,16,NA,16,NA
Bahrain,Population growth (annual %),2,2.11,2.07,2.03,1.99
Bahrain,"Population, total",656000,670000,684000,698000,712000
Bahrain,"Primary completion rate, female (% of relevant age group)",NA,NA,NA,NA,NA
Bahrain,"Primary completion rate, total (% of relevant age group)",NA,NA,NA,NA,NA
Bahrain,"School enrollment, primary (% net)",91.2,91.28,91.01,NA,NA
Bahrain,"School enrollment, secondary (% net)",82.19,81.29,81.42,NA,NA
Bangladesh,Aid per capita (current US$),9.43,8.94,7.72,6.73,NA
Bangladesh,CO2 emissions (metric tons per capita),0.21,0.22,NA,NA,NA
Bangladesh,Electric power consumption (kwh per capita),89.02,84.36,93.61,NA,NA
Bangladesh,Energy use (kg of oil equivalent per capita),138.41,141.95,153.06,NA,NA
Bangladesh,"Fertility rate, total (births per woman)",NA,3.13,NA,2.95,NA
Bangladesh,GDP (current US$),4.60E+10,4.72E+10,4.70E+10,4.76E+10,5.19E+10
Bangladesh,GDP growth (annual %),4.87,5.94,5.27,4.42,5.33
Bangladesh,"Life expectancy at birth, total (years)",NA,61.19,NA,62.09,NA
Bangladesh,"Literacy rate, adult female (% of females ages 15 and above)",29.53,30.16,30.79,31.4,NA
Bangladesh,"Literacy rate, adult total (% of people ages 15 and above)",39.44,39.99,40.55,41.09,NA
Bangladesh,"Mortality rate, infant (per 1,000 live births)",NA,54,NA,48,NA
Bangladesh,"Mortality rate, under-5 (per 1,000)",NA,82,NA,73,NA
Bangladesh,Population growth (annual %),1.74,1.73,1.74,1.74,1.74
